id,question,answer,image,caption,credit,type
0,"We probably know which one is largest at the Westminster Kennel Club, but which one is largest in geography?","The Mexican state of Chihuahua, at 95,500 square miles, is more than twice the size of the Canadian island of Newfoundland (although it's smaller than Newfoundland's canine-named neighbor, Labrador). The Pyrenees Mountains only cover about 20,000 square miles.",,,,
1,"Which American's name is on 2,509 libraries around the world, from Iowa to Guyana?","Andrew Carnegie, a Scotland-born magnate who made a fortune in steel in the United States, paid for every one of the libraries.",,,,
2,"Spain and Peru once fought a war over the latter's Chincha Islands, home to a very valuable commodity. What was it?","Bird poop. Really. According to “A Global Chronology of Conflict,” edited by Spencer Tucker, at the time of the 1864 war, the guano-rich islands provided “some 60 percent of the government revenue” for Peru.",,,,
3,"At the Notre Dame cathedral in Paris, there's a frieze of St. Denis holding something very unusual. What is it?","After being decapitated in A.D. 250, Denis is said to have picked up his head and walked about 6 miles &mdash; preaching the entire way. ",12074488,"Notre Dame cathedral rises above Paris on an island in the Seine River. A statue of St. Denis on the building features the saint carrying something odd.","David Hendricks, San Antonio Express News","question"
4,"Besides the United States, only two other nations have refused to adopt the metric system. What are they?","It's Libya and Myanmar (formerly known as Burma), and there are reports that Myanmar is preparing to leave this exclusive club.",12074505,"Interstate 19 in southern Arizona is the only continuous highway that is entirely in the metric system. The signs were installed nearly 40 years ago as part of pilot program that aimed to introduce the use of the metric system in the United States. It didn’t take.","Astrid Galvan, Associated Press","question"
5,Old-timers remember the Chinese city of Canton. What is it known as today?,"Canton was the common name for Guangzhou (and to a lesser extent the region) until the city officially adopted the latter name in 1918. Supposedly, Canton, which was never the official name, was a mispronunciation by Portuguese traders that eventually stuck.",12074514,"Stone figures guard the Guangxiao Temple in what was once called Canton. The city and the region were unofficially known as Canton by traders from the West.","Spud Hilton, The Chronicle","question"
6,"Sir Thomas Beecham, founder of Britain's Royal Philharmonic Orchestra, called this place a “god-forsaken city, with a climate so evil that no self-respecting singer would ever set foot in it.” What city was he referring to?","Liverpool. Beecham died in 1961, not long after a Liverpool skiffle group called the Quarrymen changed its name to the Beatles.",12074537,"British rock group The Beatles perform in a club in Liverpool, England, prior to signing their first recording contract.","Hulton Archive","answer"
7,Which is oldest?,"Oxford's teaching origins date to 1096, and it was a full-fledged university by 1249. Most historians date the birth of the Aztec empire to the founding of Tenochtitlán in 1325. Kublai Khan took the title of Great Khan in 1260. The Cubs only seem like they had been trying for a World Series title since the 11th century.",,,,
8,"What is the widest state in the contiguous United States (i.e., excluding Alaska and Hawaii)?","Texas stretches 660 miles east to west, from Louisiana to New Mexico.",,,,
9,"In 1993, the tiny Montana town of Ismay (population 20) changed its name in honor of a famous San Francisco figure. Who?","The town changed its name to Joe, Montana. It was a publicity stunt arranged by the Kansas City Chiefs, who had just acquired the former 49ers quarterback. The town reverted to its original name after the 1994 Super Bowl.",12074567,"Joe Montana (16) and Jerry Rice (80) high-five after a touchdown pass in 1986. In 1993, the tiny Montana town of Ismay (population 20) changed its name to Joe, Montana, as a publicity stunt.","Frederic Larson, The Chronicle","answer"
10,True or false: The French once officially abandoned their familiar tricolor flag for a national flag that was entirely white.,"True. It was during the Bourbon Restoration (1815 to 1830) and it was meant to signify purity, not surrender.",,,,
11,Which of these countries has the most time zones (not including related territories)?,"Russia has 11 time zones. Despite being almost 2,200 miles across, all of China is a single time zone.",,,,
12,What airport was once known as Idlewild?,"JFK International originally was named for the Idlewild Golf Course that the airport displaced; it was renamed for the fallen president in 1963.",,,,
13,True or false: Four state capitals are located on the Mississippi River.,"False. Surprisingly, only Baton Rouge, La., and St. Paul, Minn., are on the country's longest waterway.",12074938,"The paddlewheel riverboat American Queen ties up along the banks of the Mississippi River on its way to Natchez.","Spud Hilton, The Chronicle","question"
14,Which U.S. state has the most national parks?,"California has nine, Alaska has eight, Colorado only four, and Delaware has none, although in 2013 it finally got approval for First State National Historic Park &mdash; which it shares with Pennsylvania.",12074967,"Jagged peaks on the north rim of Kings Canyon National Park, above Zumwalt Meadows.","Spud Hilton, The Chronicle","answer"
15,"True or false: The tiny town of Riverside, Iowa, already has a plaque that recognizes something that won't happen until the  year 2228.","True: According to the authoritative StarTrek.com, Riverside is the future birthplace of James T. Kirk, captain of the starship Enterprise.",10846074,"Leonard Nimoy as Mr. Spock and William Shatner as Capt. James T. Kirk in the “Star Trek” episode “Plato’s Stepchildren.” A plaque in the tiny town of Riverside, Iowa, marks it as the future birthplace of Kirk.","CBS Photo Archive, Getty Images","answer"
